#X0 X1 X2 value type pair_id boundary
21642.3 24184.7 1423.47 0.000567572 3 447 0
472.16 28301.2 14011.6 3.52934e-07 4 -1 0
20400.9 20908.3 705.086 0.0001274 3 102 0
21062.5 15949.7 14201.1 4.20909e-08 2 961 0
19695.4 25273.5 9016.69 6.49272e-08 2 950 0
18798.5 21789.5 6954.67 2.51332e-08 2 1147 0
18157 22716.8 1981.25 4.46265e-08 2 1117 0
38436.2 40323.9 18137.6 2.90229e-08 2 1500 0
23623.3 7477.92 3871.68 2.60304e-07 4 -1 0
23679.3 31948.5 3098.13 2.52012e-08 2 1344 0
17099.2 22885.6 1134.38 2.45144e-07 2 1123 0
22726.5 20507.6 3762.17 5.14656e-08 2 951 0
802.442 26681.7 16935.9 2.93064e-06 4 -1 0
12409.2 4985.42 5226.11 7.74505e-07 4 -1 0
14602.6 18897.2 5109.77 1.38087e-06 4 -1 0
21515.3 23123.9 3500.95 2.03448e-06 4 -1 0
21572.3 23973.9 1757.57 1.99544e-06 4 -1 0
21458.9 22956.5 3206.56 3.14717e-06 4 -1 0
39408.4 42595.3 13033.2 2.46372e-07 4 -1 0
19419.1 11528.2 5713.2 3.39548e-06 4 -1 0
22897.4 13491.7 5682.75 3.02735e-08 2 1140 0
15336.6 32413.8 4083.64 1.94218e-07 4 -1 0
21529.4 23499.6 2528.44 1.44455e-06 4 -1 0
11242.5 22824.8 7317.81 0.001473 3 469 0
15613.5 17562.6 6673.93 3.09829e-07 4 -1 0
11079.7 24768.6 4002.07 7.86703e-08 2 1152 0
14020.1 19162.7 6113.27 1.22013e-07 2 1 0
12653.8 22358.9 6909.98 1.95711e-07 4 -1 0
15668.7 22859.4 623.878 3.73126e-06 4 -1 0
13847.1 20262.7 3669.32 0.00470217 3 10 0
12447.1 23051.8 6556.45 3.38587e-07 4 -1 0
11870 1902.75 840.598 0.000846728 3 108 0
10953 6633.9 8883.96 7.38839e-08 2 2 0
13814.5 5380.06 3701.29 2.83015e-07 2 922 0
12440.3 4724.11 4543.16 4.40437e-06 4 -1 0
5230.1 13319.8 2445.53 2.23546e-08 2 1112 0
11063.8 4261.28 1732.99 9.56907e-08 2 948 0
14580.8 19512.3 4037.33 4.50722e-06 4 -1 0
14331.3 6335.19 4087.34 6.40416e-08 2 1111 0
18143.9 1061.63 9183.36 3.58711e-06 4 -1 0
15895.1 11196.5 3360.65 1.6658e-08 2 1115 0
5335.55 13759.5 10410.5 8.45581e-08 4 -1 0
12641.7 3093.47 2480.11 3.15027e-07 4 -1 0
11978.3 5282.21 4642.06 5.45533e-07 4 -1 0
16755 67328.5 4139.09 0.00153241 3 628 0
