# px,py,pz
48423.600000,30875.300000,60235.000000
10791.500000,14537.600000,37311.000000
69961.200000,20824.900000,21736.000000
41567.800000,67350.100000,42611.600000
19051.100000,68933.000000,1980.170000
17324.700000,8488.370000,36947.600000
1187.540000,24662.200000,17176.900000
1671.720000,53601.800000,74436.400000
54215.500000,74639.800000,23681.400000
24562.200000,6756.240000,1248.490000
16490.000000,50754.800000,48251.700000
60771.200000,63475.700000,32081.000000
8780.850000,41027.500000,27891.100000
8145.860000,46191.200000,63543.300000
71795.100000,58571.300000,55825.100000
7231.510000,37835.700000,24900.100000
48446.700000,9462.610000,74911.400000
45169.700000,15675.400000,9340.670000
43901.700000,48961.200000,59247.900000
28641.000000,43438.100000,18621.500000
41571.500000,2184.000000,55800.900000
3817.240000,28882.500000,53012.900000
55403.500000,675.022000,5732.960000
14260.900000,38965.200000,61381.900000
16629.100000,49402.300000,48628.700000
65738.000000,57786.200000,18989.600000
35341.200000,1314.810000,70947.700000
40355.100000,36212.700000,56619.900000
16495.800000,50971.000000,62829.700000
70830.400000,58993.800000,41313.900000
37842.000000,284.360000,70367.200000
49518.800000,32306.000000,28146.700000
29778.500000,20204.700000,56112.200000
33656.400000,65719.800000,50355.700000
164.230000,25638.300000,16479.900000
23356.100000,33769.400000,40956.000000
6674.440000,29807.800000,4025.700000
3874.920000,6609.720000,38789.200000
63866.900000,16471.400000,35351.400000
74928.500000,26501.000000,15946.200000
57018.700000,993.044000,37499.200000
74598.900000,25777.800000,17133.600000
73555.600000,2613.590000,31144.600000
24251.600000,35342.900000,42594.300000
57488.900000,74895.600000,37801.500000
204.302000,56591.100000,62230.200000
69350.600000,58091.400000,53530.600000
10209.500000,51493.000000,46909.900000
44646.400000,67692.000000,44697.900000
24298.900000,50952.200000,44922.100000
24855.000000,35516.500000,42388.600000
19874.000000,47487.300000,48106.400000
8456.250000,19777.700000,65000.900000
24191.500000,40267.700000,48498.100000
1384.110000,36868.900000,14350.800000
42029.100000,654.538000,71754.000000
13371.200000,21203.400000,7136.430000
8044.150000,38666.000000,26261.800000
846.217000,25317.600000,18698.500000
69.344100,28114.200000,12787.400000
10613.700000,50084.300000,47055.300000
22966.400000,48999.300000,49358.000000
72397.900000,35362.700000,310.584000
35180.400000,26955.700000,64379.900000
62415.300000,28567.500000,23188.900000
67496.700000,59485.000000,54005.100000
23599.300000,32389.700000,40779.600000
18227.000000,68409.400000,3094.310000
58519.300000,12250.900000,37004.900000
71457.400000,59469.500000,56875.800000
23623.600000,36586.600000,42932.700000
12568.600000,39766.500000,14956.900000
15405.600000,41473.600000,57903.500000
21183.200000,3418.720000,24792.500000
20428.900000,25061.800000,19025.500000
448.339000,25570.900000,17658.200000
18975.200000,48721.200000,49007.100000
864.565000,51817.200000,55903.600000
53107.300000,65455.400000,57334.600000
8111.330000,13465.900000,28386.500000
23276.200000,48771.300000,49348.400000
11798.300000,8276.450000,29378.400000
50850.700000,33479.400000,74174.900000
14914.100000,50607.100000,50293.500000
9174.790000,74548.200000,39498.200000
66092.800000,63596.100000,38499.700000
10725.200000,49908.900000,47230.600000
33735.000000,70644.600000,31479.300000
119.989000,19253.400000,24032.000000
4884.150000,14385.300000,26788.300000
35380.800000,1077.690000,70378.200000
66860.500000,70362.500000,53815.300000
16075.900000,10371.300000,28367.200000
24536.300000,33593.300000,41698.300000
9898.670000,51585.500000,47184.300000
40975.600000,18688.800000,39920.500000
34588.200000,67593.100000,57700.900000
22967.900000,45693.800000,33366.600000
15011.200000,49712.400000,48882.600000
10798.200000,50009.300000,48133.200000
56140.400000,7338.960000,34845.400000
39675.700000,67185.000000,42875.900000
10230.000000,61823.800000,66302.100000
8830.810000,35087.400000,39455.400000
5720.680000,21259.700000,20150.500000
5933.160000,13672.700000,12697.700000
67807.400000,59590.900000,55026.200000
11118.400000,50157.200000,48746.200000
59309.600000,28042.800000,39932.900000
62365.600000,51548.800000,54805.600000
12812.700000,7424.410000,31549.300000
25469.700000,37368.800000,43467.400000
69500.500000,35037.100000,68410.000000
9081.180000,52574.200000,46185.300000
19175.700000,7520.090000,66484.500000
40278.600000,66988.200000,42012.200000
40776.700000,67691.600000,43624.200000
28863.600000,19528.500000,36679.600000
12886.800000,52484.900000,69187.100000
23203.900000,8013.610000,57705.200000
34978.100000,64725.900000,48775.700000
7116.130000,33355.200000,58627.100000
24671.400000,37690.700000,43657.600000
70947.800000,59914.900000,55438.800000
37394.400000,1045.730000,71301.800000
32773.300000,28923.100000,6835.340000
11349.400000,31239.700000,29293.600000
21859.300000,15971.500000,15820.400000
1621.990000,26377.300000,17093.900000
35896.400000,62823.300000,60435.800000
38293.100000,39989.000000,66619.700000
38635.500000,74006.900000,40449.200000
73767.100000,8128.360000,50258.000000
67508.300000,59143.300000,54568.700000
10952.000000,5434.650000,33537.400000
6264.040000,28955.100000,5309.540000
208.704000,73816.700000,22551.400000
62014.000000,36813.800000,72.184800
23392.500000,4949.130000,11593.500000
10374.700000,36300.700000,60774.500000
54947.300000,22160.300000,66439.600000
11703.400000,50525.000000,46880.000000
591.017000,25121.800000,17575.400000
39692.000000,66972.200000,43012.300000
11964.700000,51070.200000,48275.800000
44764.300000,26167.600000,37278.200000
70.565300,19772.900000,24197.400000
41247.700000,48922.500000,37010.100000
18477.500000,73295.600000,48130.100000
23005.300000,32661.600000,40946.600000
28721.900000,20357.300000,22983.900000
24077.000000,32741.700000,40429.700000
19005.600000,66993.600000,1375.940000
12350.400000,50720.400000,48401.700000
53213.000000,71406.800000,16485.000000
27614.200000,16965.700000,43779.800000
61852.000000,4983.240000,36232.800000
23577.000000,5444.060000,29613.800000
23410.100000,35762.000000,43014.100000
17637.800000,43273.000000,32627.500000
59448.500000,69133.000000,28928.800000
29665.800000,60550.100000,31517.000000
18509.800000,47851.600000,49117.200000
70387.500000,59581.200000,55110.900000
18378.500000,27083.900000,71199.000000
56644.500000,5051.260000,51356.700000
73259.400000,17981.900000,24798.400000
37510.800000,626.492000,70211.300000
14535.800000,60911.400000,71276.000000
14213.800000,67492.100000,38743.700000
67617.000000,33752.000000,5328.900000
5241.930000,20352.500000,19988.700000
46218.900000,32271.000000,54418.100000
19696.300000,59001.700000,68604.900000
19929.900000,11279.900000,5436.030000
65442.400000,17087.900000,27426.500000
68305.400000,57726.500000,53738.200000
55349.200000,64510.700000,60539.800000
27034.100000,52342.700000,33467.600000
